[26-02-2022 19:18:01] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:18:01] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:18:01] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:18:01] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:18:01] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:18:13] | dev | INFO    | Classes have been mapped
[26-02-2022 19:18:13] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:18:13] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:18:13] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:18:13] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:18:14] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:24:03] | dev | INFO    | Classes have been mapped
[26-02-2022 19:24:03] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:24:03] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:24:03] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:24:03] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:24:03] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:24:03] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:24:03] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:27:20] | dev | INFO    | Classes have been mapped
[26-02-2022 19:27:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:27:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:27:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:27:20] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:27:20] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:27:20] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:27:20] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:28:51] | dev | INFO    | Classes have been mapped
[26-02-2022 19:28:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:28:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:28:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:28:51] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:28:51] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:28:51] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:30:08] | dev | INFO    | Classes have been mapped
[26-02-2022 19:30:08] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:30:08] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:30:08] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:30:08] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:30:08] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:30:08] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:34:24] | dev | INFO    | Classes have been mapped
[26-02-2022 19:34:24] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:34:24] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:34:24] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:34:24] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:34:24] | dev | INFO    | DELETE operation request ...
